stname,,"Total
all 
classes1","Driving
under the
influence",FIPS, stusps
Alabama,Total all ages,2050,76,1, AL
Alaska,Total all ages,26353,3008,2, AK
Arizona,Total all ages,187255,14909,4, AZ
Arkansas,Total all ages,96862,4938,5, AR
California,Total all ages,847606,95778,6, CA
Colorado,Total all ages,145095,14421,8, CO
Connecticut,Total all ages,68484,5151,9, CT
Delaware,Total all ages,24636,294,10, DE
District of Columbia,Total all ages,4093,1,11,DC
Florida,Total all ages,506402,29073,12, FL
Georgia,Total all ages,110543,12808,13, GA
Hawaii,Total all ages,10996,1067,15, HI
Idaho,Total all ages,45397,6713,16, ID
Illinois,Total all ages,5615,231,17, IL
Indiana,Total all ages,75450,8874,18, IN
Iowa,Total all ages,78092,9190,19, IA
Kansas,Total all ages,46140,6192,20, KS
Kentucky,Total all ages,141158,12122,21, KY
Louisiana,Total all ages,116373,3778,22, LA
Maine,Total all ages,32189,4095,23, ME
Maryland,Total all ages,8248,1621,24, MD
Massachusetts,Total all ages,76381,6597,25, MA
Michigan,Total all ages,158199,20416,26, MI
Minnesota,Total all ages,112814,16981,27, MN
Mississippi,Total all ages,35473,4727,28, MS
Missouri,Total all ages,139175,13687,29, MO
Montana,Total all ages,30254,3914,30, MT
Nebraska,Total all ages,35682,3152,31, NE
Nevada,Total all ages,110516,9530,32, NV
New Hampshire,Total all ages,35548,3919,33, NH
New Jersey,Total all ages,168018,14316,34, NJ
New Mexico,Total all ages,28483,2291,35, NM
New York,Total all ages,152107,17047,36, NY
North Carolina,Total all ages,197222,11646,37, NC
North Dakota,Total all ages,32614,4454,38, ND
Ohio,Total all ages,140837,9668,39, OH
Oklahoma,Total all ages,83796,8516,40, OK
Oregon,Total all ages,98495,9790,41, OR
Pennsylvania,Total all ages,2224,205,42, PA
Rhode Island,Total all ages,19266,1977,44, RI
South Carolina,Total all ages,122532,10521,45, SC
South Dakota,Total all ages,48621,5980,46, SD
Tennessee,Total all ages,235233,17040,47, TN
Texas,Total all ages,489316,55964,48, TX
Utah,Total all ages,82809,8372,49, UT
Vermont,Total all ages,11617,1957,50, VT
Virginia,Total all ages,201479,16483,51, VA
Washington,Total all ages,143840,22125,53, WA
West Virginia,Total all ages,26652,2425,54, WV
Wisconsin,Total all ages,179705,20135,55, WI
Wyoming,Total all ages,20581,2744,56, WY
